Date,NER,RER,Fedfunds,PPI,Indpro,Borrow
1/1/1964,138.91,146.62,3.48,39.9,27.8086,0.2743
2/1/1964,138.93,146.14,3.48,39.1,27.9972,0.2863
3/1/1964,138.9,145.93,3.43,39.4,27.9972,0.2777
4/1/1964,138.94,145.14,3.47,39.1,28.4553,0.211
5/1/1964,143.83,149.19,3.5,38.8,28.617,0.2601
6/1/1964,143.87,150.11,3.5,38.6,28.6978,0.2685
7/1/1964,143.9,150.41,3.42,39,28.8865,0.2635
8/1/1964,143.83,149.24,3.5,38.7,29.0751,0.3147
9/1/1964,143.65,148.46,3.45,39.6,29.1829,0.3453
10/1/1964,143.63,147.39,3.36,38.8,28.7787,0.3213
11/1/1964,143.54,147.67,3.52,38.9,29.6679,0.4004
12/1/1964,143.33,147.15,3.85,38.4,30.0182,0.2638
1/1/1965,143.28,146.09,3.9,38.5,30.3416,0.2998
2/1/1965,143.37,146.04,3.98,39.1,30.5302,0.4046
3/1/1965,143.78,146.4,4.05,39.5,30.9344,0.4111
4/1/1965,143.87,145.66,4.09,40.4,31.0691,0.4715
5/1/1965,144.17,145.51,4.1,40.7,31.3116,0.4951
6/1/1965,144.27,146.06,4.05,41.5,31.5541,0.5371
7/1/1965,144.46,146.31,4.09,41.4,31.8506,0.5282
8/1/1965,144.35,145.75,4.12,41,31.9853,0.5472
9/1/1965,144.25,144.94,4.02,41.2,32.0661,0.554
10/1/1965,144.17,144.89,4.08,41.1,32.3895,0.488
11/1/1965,144.06,144.65,4.1,41.5,32.5242,0.4317
12/1/1965,144.06,144.44,4.32,42.6,32.9284,0.4437
1/1/1966,144.06,143.67,4.42,43.2,33.2518,0.42
2/1/1966,144.22,144.03,4.6,44.4,33.4674,0.4817
3/1/1966,144.2,144.12,4.66,44.2,33.9254,0.5604
4/1/1966,144.33,144.05,4.67,44,33.9793,0.6366
5/1/1966,144.3,143.79,4.9,43.2,34.3027,0.6875
6/1/1966,144.28,143.75,5.17,43.1,34.4643,0.7073
7/1/1966,144.2,143.85,5.3,44.6,34.653,0.7412
8/1/1966,144.2,144.64,5.53,44.7,34.6799,0.7351
9/1/1966,144.28,143.82,5.4,45,35.0033,0.7687
10/1/1966,144.38,144.3,5.53,43.2,35.2458,0.7343
11/1/1966,144.43,144.6,5.76,42.4,35.0033,0.6071
12/1/1966,144.47,143.96,5.4,42.1,35.0841,0.5325
1/1/1967,144.37,143.08,4.94,42.5,35.2496,0.4095
2/1/1967,144.33,142.66,5,41.8,34.8498,0.3636
